Index,SortingAlgo,SortingType,DataType,DataSize,ExeTime
5,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,226.531650000
6,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,220.615850000
7,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,222.532562000
8,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,220.633006000
9,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,217.263783000
10,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,216.883220000
1,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,129.653920000
2,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,125.394113000
3,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,123.416278000
4,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,123.487563000
5,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,170.793945000
6,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,121.557775000
7,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,134.128157000
8,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,122.308546000
9,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,121.350637000
10,BubbleSortWhileNeeded,Ascending,PartiallySorted,10000,132.310770000
1,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,0.021599000
2,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,0.021372000
3,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,0.023483000
4,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,0.021238000
5,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,0.021386000
6,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,0.021317000
7,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,0.021193000
8,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,0.021281000
9,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,0.021304000
10,BubbleSortWhileNeeded,Ascending,DuplicateValues,10000,0.021354000
1,QuickSortGPT,Ascending,Random,100,0.060886000
2,QuickSortGPT,Ascending,Random,100,0.040721000
3,QuickSortGPT,Ascending,Random,100,0.031671000
4,QuickSortGPT,Ascending,Random,100,0.048710000
5,QuickSortGPT,Ascending,Random,100,0.028180000
6,QuickSortGPT,Ascending,Random,100,0.027490000
7,QuickSortGPT,Ascending,Random,100,0.012514000
8,QuickSortGPT,Ascending,Random,100,0.012561000
9,QuickSortGPT,Ascending,Random,100,0.014102000
10,QuickSortGPT,Ascending,Random,100,0.012827000
1,QuickSortGPT,Ascending,Sorted,100,0.149962000
2,QuickSortGPT,Ascending,Sorted,100,0.096585000
3,QuickSortGPT,Ascending,Sorted,100,0.103475000
4,QuickSortGPT,Ascending,Sorted,100,0.095766000
5,QuickSortGPT,Ascending,Sorted,100,0.096458000
6,QuickSortGPT,Ascending,Sorted,100,0.095512000
7,QuickSortGPT,Ascending,Sorted,100,0.095159000
8,QuickSortGPT,Ascending,Sorted,100,0.096168000
9,QuickSortGPT,Ascending,Sorted,100,0.400076000
10,QuickSortGPT,Ascending,Sorted,100,0.285343000
1,QuickSortGPT,Ascending,ReverseSorted,100,0.217536000
2,QuickSortGPT,Ascending,ReverseSorted,100,0.122377000
3,QuickSortGPT,Ascending,ReverseSorted,100,0.123176000
4,QuickSortGPT,Ascending,ReverseSorted,100,0.122949000
5,QuickSortGPT,Ascending,ReverseSorted,100,0.121514000
6,QuickSortGPT,Ascending,ReverseSorted,100,0.196561000
7,QuickSortGPT,Ascending,ReverseSorted,100,0.121603000
8,QuickSortGPT,Ascending,ReverseSorted,100,0.122285000
9,QuickSortGPT,Ascending,ReverseSorted,100,0.122069000
10,QuickSortGPT,Ascending,ReverseSorted,100,0.121636000
1,QuickSortGPT,Ascending,PartiallySorted,100,0.068448000
2,QuickSortGPT,Ascending,PartiallySorted,100,0.127401000
3,QuickSortGPT,Ascending,PartiallySorted,100,0.044263000
4,QuickSortGPT,Ascending,PartiallySorted,100,0.068443000
5,QuickSortGPT,Ascending,PartiallySorted,100,0.036201000
